worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
21964243,9568BF97046F7A9F41A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0
22431902,missbishi,15,0,0,0,instagc,GBR,G6,Hull,5.198.34.32,,,0,,1.0,450
31663768,6D2167C6B710F9540FA9E28369487118,5,0,0,0,neodev,VEN,"","",190.36.176.18,,,0,,1.0,300
34958034,92574,0,0,0,0,elite,,,,,,,0,,1.0,0
36113457,8B1510A0C617C805A72773646D413314,5,0,0,0,neodev,EGY,11,Cairo,41.237.59.8,,,0,,1.0,0
36378612,116558,15,0,0,0,elite,BIH,01,Zivinice,109.175.6.99,,,0,,1.0,300
36841019,8878386,5,0,0,0,clixsense,IND,16,Mumbai,49.33.99.125,,,0,,1.0,300
39753316,161596,0,0,0,0,elite,,,,,,,0,,1.0,0
39838265,162807,5,0,0,0,elite,RUS,16,Cheboksary,109.248.200.142,,,0,,1.0,300
39862764,6221E70ED00B7F0D3BE56A74FD3D6324,0,0,0,0,neodev,,,,,,,0,,1.0,0
40846833,10200653,0,0,0,0,clixsense,,,,,,,0,,1.0,0
41464708,10458965,20,0,0,0,clixsense,BGR,61,Varna,79.100.58.204,,,0,,1.0,400
42284682,196679,20,0,0,0,elite,SRB,"","",185.37.26.57,,,0,,1.0,300
42479591,200330,15,0,0,0,elite,SRB,00,Belgrade,109.92.124.244,,,0,,1.0,300
42493826,93734562600F51D9DEF77F94FE295A6E,0,0,0,0,neodev,,,,,,,0,,1.0,0
43716648,232002,5,0,0,0,elite,VEN,25,Caracas,186.167.243.50,,,0,,1.0,0
43765666,E868762DF89310B1008D8D1D7EF00A28,5,0,0,0,neodev,VEN,07,Valencia,186.89.124.250,,,0,,1.0,0
43840260,731FB7C84EB8E3A16B390050D52FDAD3,10,0,0,0,neodev,VEN,20,San Cristóbal,186.24.13.108,,,0,,1.0,300
43857777,244046,0,0,0,0,elite,,,,,,,0,,1.0,0
43858282,37ABBA62C8A2893A646998E1CBB70BF7,5,0,0,0,neodev,VEN,25,Caracas,190.38.247.222,,,0,,1.0,0
43875273,245855,15,0,0,0,elite,BRA,27,Ouro Fino,177.38.104.139,,,0,,1.0,300
43886277,11881805,0,0,0,0,clixsense,,,,,,,0,,1.0,0
43936902,ED6F278D8B5B0943008D8D1D7EF00A28,25,0,0,0,neodev,KEN,"","",154.79.40.150,,,0,,1.0,400
43966055,6F19389B4217425718E09C610F0867AA,5,0,0,0,neodev,EGY,11,Cairo,156.204.148.66,,,0,,1.0,0
44010443,0A8CF8555CDE2C5D5A177E0B4883CD7E,0,0,0,0,neodev,,,,,,,0,,1.0,0
44056992,262318,0,0,0,0,elite,,,,,,,0,,1.0,0
44076544,264528,0,0,0,0,elite,,,,,,,0,,1.0,0
44085524,F73EF8E6F9ACCDF899DD719F52F9B821,0,0,0,0,neodev,,,,,,,0,,1.0,0
44116459,19A5EF273138D9B3143E2E32438F3B0E,20,0,0,0,neodev,VEN,"","",186.90.99.150,,,0,,1.0,300
44118920,135EABD0E412D915F9D662152EE91CFF,5,0,0,0,neodev,VEN,13,Barquisimeto,186.91.199.254,,,0,,1.0,0
44156612,7BD0C4CF4B30B956498878444F81137D,0,0,0,0,neodev,,,,,,,0,,1.0,0
44202929,274770,0,0,0,0,elite,,,,,,,0,,1.0,0
44259527,12487255,0,0,0,0,clixsense,,,,,,,0,,1.0,0
44291437,12554054,10,0,0,0,clixsense,TUR,"","",176.237.80.94,,,0,,1.0,300
44479354,312250,0,0,0,0,elite,,,,,,,0,,1.0,0
44494689,12915633,0,0,0,0,clixsense,,,,,,,0,,1.0,0
